Contaminant,Units,Concentration,Year,Type,Source,Health Risks,,
Arsenic,ppb,5,2016,Average Level,Arsenic can enter our water supply through the erosion of naturally occuring arsenic deposits or production wastes from glass and electronics. ,The current level of arsenic in your drinking water shouldn't cause harmful health effects because it is below the MCL (10 ppb). ,,
Arsenic,ppb,4,2017,Average Level,,,,
Arsenic,ppb,3,2018,Average Level,,,,
Arsenic,ppb,2.2,2019,Average Level,,,,
Arsenic,ppb,10,2016,Maximum Contaminant Level (MCL),,,,
Arsenic,ppb,10,2017,Maximum Contaminant Level (MCL),,,,
Arsenic,ppb,10,2018,Maximum Contaminant Level (MCL),,,,
Arsenic,ppb,10,2019,Maximum Contaminant Level (MCL),,,,
Arsenic,ppb,0.004,2016,Public Health Goal (PHG),,,,
Arsenic,ppb,0.004,2017,Public Health Goal (PHG),,,,
Arsenic,ppb,0.004,2018,Public Health Goal (PHG),,,,
Arsenic,ppb,0.004,2019,Public Health Goal (PHG),,,,
Bromate,ppb,5,2016,Average Level,Bromate is a byproduct of drinking water disinfection. It is formed when ozone is added to water for disinfection and reacts with naturally occuring bromide.,"Small amounts of bromide won't cause harmuful health effects; however, some people who ingested large amounts of bromate had gastrointestinal symptoms such as nausea, vomiting, diarrhea and abdominal pain. Some individuals who ingested high concentrations of bromate also experienced kidney effects, nervous system effects and hearing loss. However, these people were exposed to bromate levels many thousand of times the amount that would come from drinking water at its standard.",,
Bromate,ppb,3,2017,Average Level,,,,
Bromate,ppb,1,2018,Average Level,,,,
Bromate,ppb,10.1,2019,Average Level,,,,
Bromate,ppb,10,2016,Maximum Contaminant Level (MCL),,,,
Bromate,ppb,10,2017,Maximum Contaminant Level (MCL),,,,
Bromate,ppb,10,2018,Maximum Contaminant Level (MCL),,,,
Bromate,ppb,10,2019,Maximum Contaminant Level (MCL),,,,
Bromate,ppb,0.1,2016,Public Health Goal (PHG),,,,
Bromate,ppb,0.1,2017,Public Health Goal (PHG),,,,
Bromate,ppb,0.1,2018,Public Health Goal (PHG),,,,
